gene_symbol	tumor_mean
AGRN	0.11856565653859263
AGT	0.20450928846273797
AGTPBP1	-0.1369522999668149
AGTR1	-0.6943851732518755
AGTRAP	-0.054781357594897884
AGXT	-0.11261871034508797
AHCTF1	0.008970196666943764
AHCY	0.020636697884174993
AHCYL1	0.12119950442879102
AHCYL2	-0.1147980864795386
AHDC1	0.0508466845969302
AHI1	0.06813099627700403
AHNAK	0.22969058785114527
AHNAK2	-0.1730123101908667
AHSA1	-0.01859741879747645
AHSG	0.23835012508344633
AHSP	-0.22883766233793423
AIDA	0.24421595144280062
AIF1	0.1684000343783545
AIF1L	-0.37199458867978663
AIFM1	0.07982371652096987
AIFM2	0.1938605379007683
AIG1	-0.043387660024661656
AIMP1	0.06893214583304541
AIMP2	0.0156939840666368
AIP	0.041557386596398516
AJM1	-0.10064471204582048
AJUBA	0.13913295316980978
AK1	0.2251799421089622
AK2	-0.029547627313636582
AK3	0.19626879551424636
AK4	-0.0020725779601420413
AK5	-0.7569289965492736
AK6	0.08037543433313488
AK7	-0.31313648740047206
AKAIN1	-0.2802530454798706
AKAP1	-0.0409556991033071
AKAP10	0.06710983496710554
AKAP11	0.08947783015148403
AKAP12	0.3017122915149937
AKAP13	0.03950792374424594
AKAP17A	0.007298698885652044
AKAP5	-0.3332734276181988
AKAP7	0.026846875451450813
AKAP8	-0.10684602694307799
AKAP8L	-0.08665184959329864
AKAP9	0.02495951631294524
AKIP1	0.0914816182212217
AKIRIN2	-0.03994745139818079
AKNA	-0.06340391882777041
AKR1A1	0.07412841686901572
AKR1B1	0.19879265170156302
AKR1B10	-1.6921384692985946
AKR1B15	-2.859840046159716
AKR1C1	-0.9034252563865941
AKR1C2	-0.9470734345612293
AKR1C3	-0.21931065121565396
AKR1C4	-0.07375259374235021
AKR7A2	-0.006276122345191482
AKR7A3	-0.7180363358364765
AKR7L	-0.5138383757932488
AKT1	-0.010703082363789918
AKT1S1	0.1261789407981624
AKT2	0.06181655043708645
AKT3	0.04010042260984292
AKTIP	0.04109975259740395
AL022312.1	-0.043601281474764164
AL034430.2	0.13119133287024098
ALAD	0.07950592602703566
ALAS1	-0.042101376092983145
ALB	0.12879037185272857
ALCAM	-0.5536345293228564
ALDH16A1	0.09158058730885799
ALDH18A1	-0.12227467268294312
ALDH1A1	0.2091305212034662
ALDH1A2	0.280878158072948
ALDH1A3	-0.16920113507342904
ALDH1B1	0.12189510150919247
ALDH1L1	0.12664949518079993
ALDH1L2	0.21484354189097132
ALDH2	0.4329439432216269
ALDH3A2	-0.26166209120535555
ALDH3B1	0.008587560964606666
ALDH4A1	-0.09503576079105613
ALDH5A1	-0.047748210372009936
ALDH6A1	0.07960115667359702
ALDH7A1	0.14885116085927308
ALDH9A1	0.05341887409652557
ALDOA	0.1233638435576978
ALDOB	0.12513386981364505
ALDOC	0.0017660000894750283
ALG1	-0.17711702748524516
ALG11	-0.18252279978118935
ALG12	0.049072073761600166
ALG13	0.1008284310861427
ALG14	-0.062402248280506
ALG2	-0.03355260490934597
ALG3	-0.3001407357199355
ALG5	-0.24373819103893624
ALG6	-0.23715827664207012
ALG8	-0.1838199649279879
ALKBH1	-0.015437215492690726
ALKBH2	-0.1731834890610351
ALKBH3	0.12370223075026132
ALKBH4	0.07543073049777149
ALKBH5	-0.0016040642437360475
ALKBH6	0.041004516599423724
ALKBH7	0.07409267563394195
ALKBH8	0.007897420777581488
ALMS1	0.06458962997814055
ALOX15	0.12183183779074902
ALOX15B	-1.6601991258939428
ALOX5	0.027846895299184382
ALOX5AP	-0.21844198412998495
ALPI	0.5368005580620441
ALPK1	0.12929666814540042
ALPK3	-0.10482712283427986
ALPL	-0.20136949309572572
ALS2	0.0825917157921161
ALS2CL	0.14368908058203456
ALX4	0.06966333840126104
ALYREF	0.043934875670398554
AMACR	-0.014963097324290686
AMBP	0.17293960651708318
AMBRA1	0.04472788594246424
AMD1	-0.010543090778588393
AMDHD1	-0.2324826456975373
AMDHD2	0.08228779090030613
AMER1	-0.07797138586308527
AMFR	-0.04606284962835616
AMH	-0.49193053503165984
AMIGO2	-0.32979906747852894
AMMECR1	0.03792491889266003
AMMECR1L	0.030481859698493707
AMN1	-0.02139830545433341
AMOT	-0.021785158827388074
AMOTL1	0.1160733970686465
AMOTL2	0.1448581861221072
AMPD1	-0.6982363331928347
AMPD2	0.06676620513506748
AMPD3	0.015583250911063828
AMPH	-0.44245992968282266
AMT	0.029127441382152952
AMY2A	0.26392507561740786
AMZ2	-0.04539155038360043
ANAPC1	0.06180635243202204
ANAPC10	0.165350903160288
ANAPC11	0.18496993666900252
ANAPC13	0.19360216058397484
ANAPC15	0.10187010910552097
ANAPC16	0.11158527573133092
ANAPC2	0.049551272044652706
ANAPC4	0.09680185039127664
ANAPC5	0.0789217597004992
ANAPC7	0.052092779674659084
ANG	0.28583582899065263
ANGEL1	0.17871426735869278
ANGEL2	0.08940797656265431
ANGPT2	0.19613868611074992
ANGPTL1	0.21081320699641104
ANGPTL2	0.17336746274909842
ANGPTL3	-0.06574802373440924
ANGPTL4	-0.026100324573736344
ANGPTL5	-0.5334235667141236
ANGPTL6	0.2283299019172773
ANK1	-0.32589360547718016
ANK2	0.1064200309161869
ANK3	-0.010230097299299246
ANKDD1A	-1.5115262990521927
ANKEF1	-0.09495430555169904
ANKFY1	0.08982485353603309
ANKH	0.24470825820554154
ANKHD1	0.059840264260390796
ANKHD1-EIF4EBP3	0.055633003123793934
ANKIB1	0.11953205502458175
ANKLE2	-0.03660367663139752
ANKMY2	0.19476791891357337
ANKRA2	0.07021393629008088
ANKRD1	-0.07767191362484027
ANKRD10	0.015240750206508835
ANKRD11	-0.09151677607098918
ANKRD12	0.08259993290558398
ANKRD13A	0.08004832677671558
ANKRD13C	0.12187264923009877
ANKRD13D	0.023734650805078417
ANKRD16	0.056847319052995005
ANKRD17	-0.07701285534447955
ANKRD18B	-0.1346946219802394
ANKRD2	0.20251551967788473
ANKRD20A4P	0.08938853938120239
ANKRD22	-0.320077257875905
ANKRD26	-0.14979741910947197
ANKRD27	-0.03133048039229891
ANKRD28	0.012870826883659703
ANKRD30A	-0.16684265371920226
ANKRD35	0.006516705914968668
ANKRD39	0.08594523434091172
ANKRD40	-0.14936489537483055
ANKRD44	-0.13604794922365926
ANKRD46	0.09515119958974338
ANKRD49	0.16158817511781187
ANKRD50	-0.0009177477794430899
ANKRD52	0.015769636301243395
ANKRD54	-0.07507382042835431
ANKS1A	-0.08630170408956062
ANKS1B	0.1047559846717796
ANKS3	0.21993834881443775
ANKS6	0.026890798793598236
ANKZF1	-0.15326535651965045
ANLN	-0.6331538865784481
ANO1	-0.2068430683633391
ANO10	-0.40239097644987254
ANO5	0.10861407769361442
ANO6	-0.0570440328994799
ANO8	-0.18514763863952766
ANOS1	-0.022819594676700916
ANP32A	0.09662511494136794
ANP32B	-0.015835402458051817
ANP32E	-0.49097144114819713
ANPEP	-0.973256093367695
ANTKMT	0.08704445219617796
ANTXR1	-0.16263987231129207
ANTXR2	0.0803373365908353
ANXA1	0.10317771510599627
ANXA11	0.16466626523725125
ANXA2	0.2738344496011038
ANXA3	-0.20462520932974293
ANXA4	0.11533824868878284
ANXA6	0.182800544524234
ANXA7	0.11720789088451866
ANXA8	-0.4963805886469608
