metabolite_id,subsystem,leverage_topology,leverage_proteomics,delta_leverage,abs_delta_leverage
MAM00367c,Cholesterol biosynthesis 1 (Bloch pathway),5.392844242149302e-06,6.08215235341003e-06,6.893081112607284e-07,6.893081112607284e-07
MAM01450m,Bile acid biosynthesis;Cholesterol metabolism;Steroid metabolism,2.659681928493575e-06,3.3488110540401092e-06,6.891291255465344e-07,6.891291255465344e-07
MAM02040x,"Acyl-CoA hydrolysis;Alanine, aspartate and glutamate metabolism;Arachidonic acid metabolism",7.631304674222753e-06,6.943313430187516e-06,-6.879912440352366e-07,6.879912440352366e-07
MAM01947g,Sphingolipid metabolism;Transport reactions,1.1753987680452786e-05,1.1066883431900164e-05,-6.871042485526211e-07,6.871042485526211e-07
MAM01916g,Blood group biosynthesis;Transport reactions,0.00010712960546013465,0.00010781636668334746,6.86761223212814e-07,6.86761223212814e-07
MAM00758x,Bile acid biosynthesis;Transport reactions,5.722796177922093e-06,5.036575020289932e-06,-6.862211576321609e-07,6.862211576321609e-07
MAM03666e,Exchange/demand reactions;Transport reactions,7.821658591151108e-07,1.4676266673656154e-06,6.854608082505047e-07,6.854608082505047e-07
MAM03107n,Glycosphingolipid metabolism;Transport reactions,1.1602513116317697e-05,1.0917628943792564e-05,-6.848841725251331e-07,6.848841725251331e-07
MAM02661m,Transport reactions,4.149473078362891e-06,4.834196987905259e-06,6.847239095423685e-07,6.847239095423685e-07
MAM02350m,Bile acid biosynthesis;Cysteine and methionine metabolism;Transport reactions,1.0354639251607231e-05,1.1039142608096665e-05,6.845033564894333e-07,6.845033564894333e-07
MAM01336r,Androgen metabolism,4.684017760891945e-06,5.368460840594012e-06,6.844430797020673e-07,6.844430797020673e-07
MAM02040m,"Alanine, aspartate and glutamate metabolism;Arachidonic acid metabolism;Arginine and proline metabolism",3.971192692281762e-06,4.655628711679961e-06,6.844360193981996e-07,6.844360193981996e-07
MAM03496e,Exchange/demand reactions;Transport reactions,1.3577280588949492e-06,2.041979328505371e-06,6.842512696104216e-07,6.842512696104216e-07
MAM00604r,Miscellaneous,1.7435414368105202e-06,1.0600360485581804e-06,-6.835053882523398e-07,6.835053882523398e-07
MAM01314r,Miscellaneous,1.7435414127593902e-06,1.060036101117354e-06,-6.835053116420361e-07,6.835053116420361e-07
MAM00852c,Fatty acid biosynthesis (unsaturated),0.0010125758364710772,0.0010118924565607503,-6.833799103269592e-07,6.833799103269592e-07
MAM02365e,Exchange/demand reactions;Transport reactions,2.1664687936098926e-06,2.8491719505531124e-06,6.827031569432197e-07,6.827031569432197e-07
MAM02156l,Miscellaneous,8.758507177495902e-07,1.558375894375478e-06,6.825251766258879e-07,6.825251766258879e-07
MAM02476c,Histidine metabolism,7.592881187945052e-07,1.4412368160684949e-06,6.819486972739897e-07,6.819486972739897e-07
MAM00931c,Xenobiotics metabolism,2.139936972364106e-06,2.8215446178575285e-06,6.816076454934226e-07,6.816076454934226e-07
MAM01423e,Exchange/demand reactions;Transport reactions,3.8759932911098287e-07,1.0671423526885997e-06,6.795430235776169e-07,6.795430235776169e-07
MAM01784r,Fatty acid activation (endoplasmic reticular);Fatty acid metabolism;Formation and hydrolysis of cholesterol esters,6.648357274395707e-06,7.3265326373874996e-06,6.781753629917925e-07,6.781753629917925e-07
MAM02024g,Sphingolipid metabolism;Transport reactions,1.105608717224148e-05,1.0377993080788976e-05,-6.780940914525038e-07,6.780940914525038e-07
MAM03661c,Sphingolipid metabolism,8.726385044683347e-06,8.048365508295119e-06,-6.780195363882281e-07,6.780195363882281e-07
MAM02543c,Amino sugar and nucleotide sugar metabolism;Glycosphingolipid biosynthesis-ganglio series;Isolated,8.487458176249472e-06,7.809553263435633e-06,-6.779049128138393e-07,6.779049128138393e-07
MAM01082c,Bile acid biosynthesis,4.642835366251591e-06,3.965162249348503e-06,-6.776731169030885e-07,6.776731169030885e-07
MAM01509r,Formation and hydrolysis of cholesterol esters;Pool reactions,2.91273906990612e-05,2.8450999187122378e-05,-6.763915119388202e-07,6.763915119388202e-07
MAM02684l,Glycerolipid metabolism;Pool reactions;Transport reactions,9.177649783215478e-06,8.501481947016352e-06,-6.761678361991266e-07,6.761678361991266e-07
MAM00638c,"Phenylalanine, tyrosine and tryptophan biosynthesis;Tyrosine metabolism",1.2526710131796073e-06,1.928494727236629e-06,6.758237140570218e-07,6.758237140570218e-07
MAM01075c,Androgen metabolism,1.3566165545934658e-06,2.032212876827449e-06,6.755963222339833e-07,6.755963222339833e-07
MAM03489x,Fatty acid oxidation,3.8712173623005345e-07,1.0619728145166175e-06,6.74851078286564e-07,6.74851078286564e-07
MAM02993e,Exchange/demand reactions;Transport reactions,1.2600679742325211e-05,1.3274747841194433e-05,6.740680988692211e-07,6.740680988692211e-07
MAM02634r,Carnitine shuttle (endoplasmic reticular),4.028994188511892e-06,3.3553740973931987e-06,-6.736200911186934e-07,6.736200911186934e-07
MAM02534c,Transport reactions,2.5661974777577156e-06,3.238982996390667e-06,6.727855186329512e-07,6.727855186329512e-07
MAM01333c,"Phenylalanine, tyrosine and tryptophan biosynthesis",2.386293426029118e-06,3.058679633469083e-06,6.723862074399652e-07,6.723862074399652e-07
MAM01471l,Formation and hydrolysis of cholesterol esters;Pool reactions,4.759638716593485e-06,5.43201416537885e-06,6.723754487853651e-07,6.723754487853651e-07
MAM03152c,"Phenylalanine, tyrosine and tryptophan biosynthesis",2.2092961380636346e-05,2.276495452583137e-05,6.719931451950239e-07,6.719931451950239e-07
MAM01830c,Folate metabolism;Transport reactions,1.6458187954891311e-06,2.3176197790925277e-06,6.718009836033966e-07,6.718009836033966e-07
MAM02891c,Isolated;Metabolism of other amino acids;Transport reactions,1.6524329770371965e-06,9.8109810812059e-07,-6.713348689166064e-07,6.713348689166064e-07
MAM01415m,Transport reactions;Vitamin D metabolism,5.497878395424549e-06,4.826726433602468e-06,-6.711519618220812e-07,6.711519618220812e-07
MAM02578c,"Alanine, aspartate and glutamate metabolism;Amino sugar and nucleotide sugar metabolism;Arginine and proline metabolism",3.63577245907146e-06,4.306643918910592e-06,6.708714598391315e-07,6.708714598391315e-07
MAM02042e,Exchange/demand reactions;Transport reactions,9.375007649238686e-07,1.608034980403621e-06,6.705342154797525e-07,6.705342154797525e-07
MAM02661x,Transport reactions;Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,6.163139949833053e-07,1.2857758403156422e-06,6.69461845332337e-07,6.69461845332337e-07
MAM02648r,Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters;Pool reactions,6.535657726733544e-06,5.8665605931656224e-06,-6.690971335679218e-07,6.690971335679218e-07
